Jurgen Annevelink	books/acm/kim95/AnnevelinkACFHK95
Rafiul Ahad	books/acm/kim95/AnnevelinkACFHK95
Amelia Carlson	books/acm/kim95/AnnevelinkACFHK95
Daniel H. Fishman	books/acm/kim95/AnnevelinkACFHK95
Michael L. Heytens	books/acm/kim95/AnnevelinkACFHK95
William Kent	books/acm/kim95/AnnevelinkACFHK95
José A. Blakeley	books/acm/kim95/Blakeley95
Yuri Breitbart	books/acm/kim95/BreitbartGS95
Hector Garcia-Molina	books/acm/kim95/BreitbartGS95
Abraham Silberschatz	books/acm/kim95/BreitbartGS95
Yuri Breitbart	books/acm/kim95/BreitbartR95
Tom C. Reyes	books/acm/kim95/BreitbartR95
Stavros Christodoulakis	books/acm/kim95/ChristodoulakisK95
Leonidas Koveos	books/acm/kim95/ChristodoulakisK95
Umeshwar Dayal	books/acm/kim95/DayalHW95
Eric N. Hanson	books/acm/kim95/DayalHW95
Jennifer Widom	books/acm/kim95/DayalHW95
Angelika Kotz Dittrich	books/acm/kim95/DittrichD95
Klaus R. Dittrich	books/acm/kim95/DittrichD95
Hector Garcia-Molina	books/acm/kim95/Garcia-MolinaH95
Meichun Hsu	books/acm/kim95/Garcia-MolinaH95
Nathan Goodman	books/acm/kim95/Goodman95
Gail E. Kaiser	books/acm/kim95/Kaiser95
William Kelley	books/acm/kim95/KelleyGKRG95
Sunit K. Gala	books/acm/kim95/KelleyGKRG95
Won Kim	books/acm/kim95/KelleyGKRG95
Tom C. Reyes	books/acm/kim95/KelleyGKRG95
Bruce Graham	books/acm/kim95/KelleyGKRG95
Alfons Kemper	books/acm/kim95/KemperM95
Guido Moerkotte	books/acm/kim95/KemperM95
Won Kim	books/acm/kim95/Kim95
Won Kim	books/acm/kim95/Kim95a
Won Kim	books/acm/kim95/Kim95b
Won Kim	books/acm/kim95/KimCGS95
Injun Choi	books/acm/kim95/KimCGS95
Sunit K. Gala	books/acm/kim95/KimCGS95
Mark Scheevel	books/acm/kim95/KimCGS95
Won Kim	books/acm/kim95/KimG95
Jorge F. Garza	books/acm/kim95/KimG95
Won Kim	books/acm/kim95/KimK95
William Kelley	books/acm/kim95/KimK95
Vincent J. Kowalski	books/acm/kim95/Kowalski95
David Krieger	books/acm/kim95/KriegerA95
Tim Andrews	books/acm/kim95/KriegerA95
Teresa F. Lunt	books/acm/kim95/Lunt95
Weiyi Meng	books/acm/kim95/MengY95
Clement T. Yu	books/acm/kim95/MengY95
Amihai Motro	books/acm/kim95/Motro95
Edward Omiecinski	books/acm/kim95/Omiecinski95
M. Tamer Özsu	books/acm/kim95/OzsuB95
José A. Blakeley	books/acm/kim95/OzsuB95
Marek Rusinkiewicz	books/acm/kim95/RusinkiewiczS95
Amit P. Sheth	books/acm/kim95/RusinkiewiczS95
Hanan Samet	books/acm/kim95/Samet95
Hanan Samet	books/acm/kim95/SametA95
Walid G. Aref	books/acm/kim95/SametA95
Ming-Chien Shan	books/acm/kim95/ShanADDK95
Rafi Ahmed	books/acm/kim95/ShanADDK95
Jim Davis	books/acm/kim95/ShanADDK95
Weimin Du	books/acm/kim95/ShanADDK95
William Kent	books/acm/kim95/ShanADDK95
Richard T. Snodgrass	books/acm/kim95/Snodgrass95
Richard Mark Soley	books/acm/kim95/SoleyK95
William Kent	books/acm/kim95/SoleyK95
Ralph L. Stout	books/acm/kim95/Stout95
Craig W. Thompson	books/acm/kim95/Thompson95
Albert W. Marshall	books/ap/MarshallO79
Ingram Olkin	books/ap/MarshallO79
Anders Björnerstedt	books/aw/kimL89/BjornerstedtH89
Christer Hulten	books/aw/kimL89/BjornerstedtH89
Robert Bretl	books/aw/kimL89/BretlMOPSSWW89
David Maier	books/aw/kimL89/BretlMOPSSWW89
Allen Otis	books/aw/kimL89/BretlMOPSSWW89
D. Jason Penney	books/aw/kimL89/BretlMOPSSWW89
Bruce Schuchardt	books/aw/kimL89/BretlMOPSSWW89
Jacob Stein	books/aw/kimL89/BretlMOPSSWW89
E. Harold Williams	books/aw/kimL89/BretlMOPSSWW89
Monty Williams	books/aw/kimL89/BretlMOPSSWW89
Michael J. Carey	books/aw/kimL89/CareyDRS89
David J. DeWitt	books/aw/kimL89/CareyDRS89
Joel E. Richardson	books/aw/kimL89/CareyDRS89
Eugene J. Shekita	books/aw/kimL89/CareyDRS89
Dominique Decouchant	books/aw/kimL89/Decouchant89
Jim Diederich	books/aw/kimL89/DiederichM89
Jack Milton	books/aw/kimL89/DiederichM89
Clarence A. Ellis	books/aw/kimL89/EllisG89
Simon J. Gibbs	books/aw/kimL89/EllisG89
Daniel H. Fishman	books/aw/kimL89/FishmanABCCDHHKLLMNRSW89
Jurgen Annevelink	books/aw/kimL89/FishmanABCCDHHKLLMNRSW89
David Beech	books/aw/kimL89/FishmanABCCDHHKLLMNRSW89
E. C. Chow	books/aw/kimL89/FishmanABCCDHHKLLMNRSW89
Tim Connors	books/aw/kimL89/FishmanABCCDHHKLLMNRSW89
J. W. Davis	books/aw/kimL89/FishmanABCCDHHKLLMNRSW89
Waqar Hasan	books/aw/kimL89/FishmanABCCDHHKLLMNRSW89
C. G. Hoch	books/aw/kimL89/FishmanABCCDHHKLLMNRSW89
William Kent	books/aw/kimL89/FishmanABCCDHHKLLMNRSW89
S. Leichner	books/aw/kimL89/FishmanABCCDHHKLLMNRSW89
Peter Lyngbæk	books/aw/kimL89/FishmanABCCDHHKLLMNRSW89
Brom Mahbod	books/aw/kimL89/FishmanABCCDHHKLLMNRSW89
Marie-Anne Neimat	books/aw/kimL89/FishmanABCCDHHKLLMNRSW89
Tore Risch	books/aw/kimL89/FishmanABCCDHHKLLMNRSW89
Ming-Chien Shan	books/aw/kimL89/FishmanABCCDHHKLLMNRSW89
